"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"Trabzonspor","Fenerbahçe","2","1","%55,0","%52,3","%44,7","10","3","6","%45,0","%47,7","%55,3","8","1","6","440","46","%82,3","%73,9","23","%17,4","362","63","%74,9","%57,7","15","%6,7","2","26","8","6","14","12","%30,8","1","11","3","3","6","5","%27,3","18","%66,7","22","11","%45,5","27","11","3","0","17","3","0","1"
"Galatasaray","Kasımpaşa","4","1","%52,3","%58,8","%59,3","10","4","4","%47,7","%41,2","%40,7","8","2","7","365","47","%83,0","%70,7","17","%11,8","323","38","%78,0","%59,4","26","%19,2","4","15","5","2","8","7","%33,3","1","16","6","3","6","10","%37,5","22","%86,4","39","13","%61,5","21","11","1","0","14","2","0","1"
"Bursaspor","BB Erzurumspor","2","1","%53,8","%48,5","%51,1","28","1","2","%46,2","%51,5","%48,9","8","2","3","515","77","%81,0","%70,5","13","%46,2","440","71","%74,3","%58,7","13","%46,2","2","13","4","5","5","8","%30,8","1","8","1","2","4","4","%12,5","22","%77,3","16","21","%57,1","11","19","2","0","13","1","0","1"
"Göztepe","Fenerbahçe","1","0","%46,0","%44,4","%37,5","17","3","4","%54,0","%55,6","%62,5","17","1","5","403","62","%77,7","%61,4","18","%5,6","472","50","%82,4","%74,1","20","%25,0","1","5","1","2","4","1","%20,0","0","9","1","2","3","6","%11,1","9","%88,9","24","14","%71,4","22","16","2","0","16","1","0","1"
"MKE Ankaragücü","Yeni Malatyaspor","1","0","%46,3","%47,7","%49,0","15","0","6","%53,7","%52,3","%51,0","16","0","6","329","64","%66,0","%53,2","16","%6,3","378","71","%73,0","%63,5","26","%23,1","1","7","3","0","4","3","%42,9","0","10","2","4","5","5","%20,0","16","%56,3","19","15","%80,0","20","21","4","0","19","4","0","1"
"Antalyaspor","Yeni Malatyaspor","3","0","%53,8","%52,3","%50,0","8","1","5","%46,2","%47,7","%50,0","3","3","4","411","49","%90,5","%77,8","23","%21,7","359","39","%85,5","%74,4","14","%28,6","3","17","5","2","10","7","%29,4","0","12","2","4","7","5","%16,7","15","%53,3","8","8","%25,0","15","17","2","0","13","2","1","1"
"Sivasspor","Akhisarspor","2","1","%44,2","%53,2","%34,5","7","0","3","%55,8","%46,8","%65,5","7","4","8","433","62","%81,1","%72,8","13","%38,5","537","47","%85,5","%75,3","25","%28,0","2","13","6","2","5","8","%46,2","1","12","3","1","2","10","%25,0","28","%60,7","18","8","%75,0","13","17","2","1","13","2","0","1"
"Antalyaspor","MKE Ankaragücü","2","4","%56,3","%60,8","%57,8","10","1","4","%43,7","%39,2","%42,2","11","1","4","424","49","%80,2","%61,9","23","%17,4","342","55","%72,5","%59,6","5","%40,0","2","17","5","4","9","8","%29,4","4","10","4","3","4","6","%40,0","12","%83,3","11","12","%58,3","21","8","3","0","23","6","0","2"
"Kayserispor","Göztepe","2","1","%45,3","%49,1","%52,3","13","2","3","%54,7","%50,9","%47,7","15","0","5","395","57","%79,5","%70,6","12","%16,7","470","71","%79,8","%68,2","19","%26,3","2","15","4","3","10","5","%26,7","1","8","2","5","3","5","%25,0","14","%35,7","19","19","%68,4","10","10","4","0","10","1","0","1"
"Bursaspor","Konyaspor","0","0","%59,0","%45,9","%41,0","10","3","4","%41,0","%54,1","%59,0","12","3","4","508","104","%76,4","%63,7","34","%32,4","366","69","%67,5","%61,5","9","%22,2","0","16","3","7","5","11","%18,8","0","5","4","0","3","2","%80,0","10","%60,0","10","8","%87,5","39","11","0","0","15","2","0","0"
